country,year,accessibility_percentage
ECU,2014,92.3583
ECU,2015,93.05378
ECU,2016,93.68204
ECU,2017,93.99454
EGY,2000,97.87095
EGY,2001,97.94453
EGY,2002,98.01802
EGY,2003,98.09145
EGY,2004,98.1648
EGY,2005,98.23808
EGY,2006,98.31129
EGY,2007,98.38364
EGY,2008,98.45557
EGY,2009,98.52762
EGY,2010,98.59972
EGY,2011,98.67193
EGY,2012,98.74377
EGY,2013,98.8158
EGY,2014,98.88798
EGY,2015,98.96033
EGY,2016,99.03286
EGY,2017,99.10573
SLV,2000,77.78591
SLV,2001,77.99451
SLV,2002,79.30755
SLV,2003,80.61546
SLV,2004,81.91846
SLV,2005,83.21478
SLV,2006,84.50497
SLV,2007,85.80185
SLV,2008,87.1683
SLV,2009,88.50999
SLV,2010,89.82706
SLV,2011,91.11933
SLV,2012,92.3861
SLV,2013,93.62684
SLV,2014,94.84168
SLV,2015,96.03034
SLV,2016,97.06386
SLV,2017,97.38837
GNQ,2000,51.09814
GNQ,2001,51.79044
GNQ,2002,52.542
GNQ,2003,53.35042
GNQ,2004,54.21503
GNQ,2005,55.13172
GNQ,2006,56.10058
GNQ,2007,57.11857
GNQ,2008,58.18379
GNQ,2009,59.2918
GNQ,2010,60.44137
GNQ,2011,61.62961
GNQ,2012,62.85389
GNQ,2013,63.67152
GNQ,2014,63.92648
GNQ,2015,64.1786
GNQ,2016,64.42552
GNQ,2017,64.66582
ERI,2000,46.81421
ERI,2001,47.12042
ERI,2002,47.44093
ERI,2003,47.77522
ERI,2004,48.12342
ERI,2005,48.48441
ERI,2006,48.85949
ERI,2007,49.24695
ERI,2008,49.6487
ERI,2009,49.81033
ERI,2010,49.97738
ERI,2011,50.15053
ERI,2012,50.32917
ERI,2013,50.70513
ERI,2014,51.08356
ERI,2015,51.46509
ERI,2016,51.84972
ERI,2017,
EST,2000,99.11478
EST,2001,99.1547
EST,2002,99.19495
EST,2003,99.23553
EST,2004,99.27644
EST,2005,99.3177
EST,2006,99.35927
EST,2007,99.40118
EST,2008,99.44344
EST,2009,99.48605
EST,2010,99.52898
EST,2011,99.57225
EST,2012,99.61729
EST,2013,99.66356
EST,2014,99.70941
EST,2015,99.71053
EST,2016,99.71165
EST,2017,99.71283
SWZ,2000,52.51423
SWZ,2001,53.52095
SWZ,2002,54.52232
SWZ,2003,55.5183
SWZ,2004,56.50797
SWZ,2005,57.49255
SWZ,2006,58.47115
SWZ,2007,59.46272
SWZ,2008,60.56617
SWZ,2009,61.66065
SWZ,2010,62.74622
SWZ,2011,63.82331
SWZ,2012,64.86421
SWZ,2013,65.89698
SWZ,2014,66.92128
SWZ,2015,67.93752
SWZ,2016,68.9483
SWZ,2017,69.00865
ETH,2000,18.69521
ETH,2001,20.28878
ETH,2002,21.84036
ETH,2003,23.34811
ETH,2004,24.81286
ETH,2005,26.23478
ETH,2006,27.61464
ETH,2007,28.96144
ETH,2008,30.36671
ETH,2009,31.72783
ETH,2010,33.04677
ETH,2011,34.32268
ETH,2012,35.55694
ETH,2013,36.73983
ETH,2014,37.88149
ETH,2015,38.98174
ETH,2016,40.04142
ETH,2017,41.05995
FJI,2000,94.60311
FJI,2001,94.63544
FJI,2002,94.66776
FJI,2003,94.5918
FJI,2004,94.51643
FJI,2005,94.44138
FJI,2006,94.36691
FJI,2007,94.29294
FJI,2008,94.22775
FJI,2009,94.16517
FJI,2010,94.10332
FJI,2011,94.04205
FJI,2012,93.98151
FJI,2013,93.92134
FJI,2014,93.86182
FJI,2015,93.80295
FJI,2016,93.74462
FJI,2017,93.79092
FIN,2000,100.0
FIN,2001,100.0
FIN,2002,100.0
FIN,2003,100.0
FIN,2004,100.0
FIN,2005,100.0
FIN,2006,100.0
FIN,2007,100.0
FIN,2008,100.0
FIN,2009,100.00001
FIN,2010,100.0
FIN,2011,100.0
FIN,2012,100.00001
FIN,2013,100.0
FIN,2014,100.0
FIN,2015,100.0
FIN,2016,100.0
FIN,2017,100.0
FRA,2000,99.89733
FRA,2001,99.90585
FRA,2002,99.91419
FRA,2003,99.92238
FRA,2004,99.9304
FRA,2005,99.93826
FRA,2006,99.94595
FRA,2007,99.95351
FRA,2008,99.9609
FRA,2009,99.96815
FRA,2010,99.97524
FRA,2011,99.98218
FRA,2012,99.98896
FRA,2013,99.99558
FRA,2014,100.0
FRA,2015,100.0
FRA,2016,100.0
FRA,2017,100.0
GAB,2000,79.53762
GAB,2001,80.1376
GAB,2002,80.70048
GAB,2003,81.22711
GAB,2004,81.71886
GAB,2005,82.17657
GAB,2006,82.60249
GAB,2007,82.99741
GAB,2008,83.36343
GAB,2009,83.70043
GAB,2010,84.01086
GAB,2011,84.29539
GAB,2012,84.55587
GAB,2013,84.7922
GAB,2014,85.00294
GAB,2015,85.4748
GAB,2016,85.62704
GAB,2017,85.771
GMB,2000,75.00136
GMB,2001,75.13911
GMB,2002,75.2877
GMB,2003,75.44097
GMB,2004,75.58038
GMB,2005,75.72826
GMB,2006,75.88463
GMB,2007,76.04948
GMB,2008,76.22301
GMB,2009,76.40444
GMB,2010,76.59435
GMB,2011,76.79232
GMB,2012,76.99876
GMB,2013,77.21253
GMB,2014,77.4333
GMB,2015,77.66074
GMB,2016,77.82724
GMB,2017,77.99157
GEO,2000,92.97521
GEO,2001,93.20199
GEO,2002,93.46075
GEO,2003,93.75501
GEO,2004,94.04644
GEO,2005,94.33504
GEO,2006,94.62092
GEO,2007,94.90408
